医療機関名称,郵便番号,住所
医療法人社団　しおかぜ診療所,656-2401,兵庫県淡路市岩屋１４１４－３５
医療法人社団　元就会　宮脇内科医院,658-0003,兵庫県神戸市東灘区本山北町３－４－１１
医療法人社団仁愛会　中川医院,658-0013,兵庫県神戸市東灘区深江北町３－４－２２
吉岡クリニック,658-0016,兵庫県神戸市東灘区本山中町３－１－１
あだち耳鼻咽喉科,658-0016,兵庫県神戸市東灘区本山中町４－１－３
まつだ内科クリニック,658-0072,兵庫県神戸市東灘区岡本１－６－１２
医療法人社団長州会　毛利耳鼻咽喉科・芦屋クリニック,659-0024,兵庫県芦屋市南宮町１０－２４
後藤泌尿器科医院,659-0064,兵庫県芦屋市精道町７－１ハックス芦屋ビル２階西室
医）甲南回生　松本クリニック,659-0086,兵庫県芦屋市三条南町１３－１６－３Ｆ
瀬野内科医院,659-0092,兵庫県芦屋市大原町１１－２４－１０６
医療法人社団　永松クリニック,659-0094,兵庫県芦屋市松ノ内町１０－１８
医療法人社団　きたつじクリニック,660-0054,兵庫県尼崎市西立花町３－１－１－１０１
毛利耳鼻咽喉科医院,660-0801,兵庫県尼崎市長洲東通１－９－３２
医療法人社団　こんどう整形外科,660-0822,兵庫県尼崎市杭瀬南新町１－１－２３エクセレントシティビル２階
高診療所,660-0861,兵庫県尼崎市御園町２１ＭＧ尼崎駅前ビル１階１０２号
社会医療法人　愛仁会　カーム尼崎健診プラザ,660-0861,兵庫県尼崎市御園町５４カーム尼崎２階
やまさきファミリークリニック,660-0861,兵庫県尼崎市御園町５４カーム尼崎３階
医療法人社団　南川クリニック内科,661-0001,兵庫県尼崎市塚口本町２－２０－１
よこたクリニック,661-0002,兵庫県尼崎市塚口町３－３７－１
内藤クリニック,661-0012,兵庫県尼崎市南塚口町１－３０－１０
加藤道夫肝臓内科クリニック,661-0012,兵庫県尼崎市南塚口町２丁目１塚口さんさんタウン２番館３階３１０号
山田クリニック,661-0032,兵庫県尼崎市武庫之荘東１－２３－８
医療法人社団　はせがわ内科,661-0033,兵庫県尼崎市南武庫之荘１－３－１
町塚医院,661-0953,兵庫県尼崎市東園田町４－１０８－２
医療法人社団　美雄会　細川内科医院,661-0953,兵庫県尼崎市東園田町９－１８－１９
青木外科整形外科,661-0974,兵庫県尼崎市若王寺１－２－２３
医療法人社団　まごのクリニック,661-0981,兵庫県尼崎市猪名寺２－１５－３０
おりたクリニック,662-0017,兵庫県西宮市甲陽園西山町１－６２
アシダクリニック,662-0038,兵庫県西宮市南郷町４－７
医療法人社団ＦＯＲＺＡ　ＮｉｓｈｉｎｏｍｉｙａファミリークリニックＨａｙａｓｈｉ,662-0825,兵庫県西宮市門戸荘９－１６
亀田内科クリニック,662-0841,兵庫県西宮市両度町３－２アメニティコート西宮北口５号
医療法人社団　片岡クリニック,662-0874,兵庫県西宮市六軒町３－８－１０１
岩下内科クリニック,662-0911,兵庫県西宮市池田町９－６－２０３
医療法人社団　中村整形外科,662-0912,兵庫県西宮市松原町７－２０
たにざわこどもクリニック,662-0971,兵庫県西宮市和上町１－３１
大草耳鼻咽喉科クリニック,662-0977,兵庫県西宮市神楽町１１－３さくら夙川クリニックビル３階
林医院,663-8113,兵庫県西宮市甲子園口３－９－２３
北垣クリニック,663-8134,兵庫県西宮市上田中町７－３
ジン医院,663-8141,兵庫県西宮市高須町１－１－１２－２０５
しまなみクリニック,663-8143,兵庫県西宮市枝川町９－２０
医療法人社団　中田内科医院,663-8152,兵庫県西宮市甲子園町２５－１８
医療法人社団　一佳会　さこだ耳鼻咽喉科,663-8204,兵庫県西宮市高松町５－３９なでしこビル４階
医療法人　喜望会　谷向病院,663-8215,兵庫県西宮市今津水波町６－３０
医療法人社団　にきクリニック,663-8245,兵庫県西宮市津門呉羽町１－２８今津医療センター４階
佐藤耳鼻咽喉科,664-0007,兵庫県伊丹市北野２－９８ＯＭＴビル２階
まえの耳鼻咽喉科,664-0029,兵庫県伊丹市中野北３－６－６シュモアⅡ
（医）高田医院,664-0842,兵庫県伊丹市森本２－１９０
医療法人社団　さかもと小児科アレルギー科,664-0846,兵庫県伊丹市伊丹１－７－１６－１０１
おじまクリニック,664-0895,兵庫県伊丹市宮ノ前１－４－６
えびす谷クリニック,665-0011,兵庫県宝塚市南口２－１４－５－２１１
田中医院,665-0024,兵庫県宝塚市逆瀬台４－７－７
中井医院,665-0035,兵庫県宝塚市逆瀬川１－１－１９
宝塚医療生活協同組合　高松診療所,665-0043,兵庫県宝塚市高松町５－１０
医療法人社団　晃成会　晃成会クリニック,665-0045,兵庫県宝塚市光明町１－９
くまクリニック,665-0835,兵庫県宝塚市旭町２－１５－１１
なみき内科,665-0865,兵庫県宝塚市寿町８－２４
医療法人社団　学優会　きただクリニック。,666-0014,兵庫県川西市小戸１－２－６ジオ阪急川西レジデンスマーク１階
医療法人社団　間瀬内科クリニック,666-0016,兵庫県川西市中央町５－５ＯＨＭＩビル５階
さくらホームケアクリニック,666-0121,兵庫県川西市平野３－１８－２７
医療法人社団　耳鼻いんこう科　ふじおかクリニック,666-0142,兵庫県川西市清和台東３－１－８ガーデンモール清和台２階
森医院,667-0126,兵庫県養父市堀畑８２－２８
あおぞらクリニック,669-1354,兵庫県三田市大畑清水３５７－１
医療法人社団　いまだ内科クリニック,669-1544,兵庫県三田市武庫が丘７－７－４エムズⅡビル２階
医療法人　五葉会　城南病院,670-0012,兵庫県姫路市本町２３１
姫路医療生活協同組合　共立病院,670-0822,兵庫県姫路市市川台３－１２
医療法人社団　阿保クリニック,670-0926,兵庫県姫路市東駅前町７５－１
石川医院,670-0936,兵庫県姫路市古二階町１３５
整形外科ほそいクリニック,670-0961,兵庫県姫路市南畝町２－３１浜屋ハートビル８階
姫路医療生活協同組合　ヘルスコ－プあぼし診療所,671-1227,兵庫県姫路市網干区和久２－２
近藤内科医院,672-8014,兵庫県姫路市東山２５１
いそかわキッズクリニック,672-8019,兵庫県姫路市木場前七反町６１
井上外科胃腸科,673-0041,兵庫県明石市西明石南町２－２１－１
早川内科循環器科医院,673-0404,兵庫県三木市大村１４２－７
橋本ファミリークリニック,673-0863,兵庫県明石市朝霧南町２－９－５ビラ朝霧２Ｆ
川原内科,673-0870,兵庫県明石市朝霧南町１－１６５－５朝霧ＫＭビル４階
田路医院,673-0885,兵庫県明石市桜町１１－１２
森下クリニック,673-1431,兵庫県加東市社５１２－１
いのうえ医院,674-0057,兵庫県明石市大久保町高丘３－１－２－８８
医療法人社団　ほうらい外科胃腸科医院,675-0038,兵庫県加古川市加古川町木村６６２－６
寺岡耳鼻咽喉科,675-0150,兵庫県加古郡播磨町南野添３－１０－１１
大西メディカルクリニック,675-1115,兵庫県加古郡稲美町国岡２－９－１
医療法人社団　薫楓会　緑駿病院,675-1322,兵庫県小野市匠台７２－１
やない外科胃腸科,677-0043,兵庫県西脇市下戸田２７４－２
医療法人社団　天野内科医院,677-0044,兵庫県西脇市上野字芝添３１５
半田クリニック,678-0001,兵庫県相生市山手２－２２１
相生市民病院,678-0008,兵庫県相生市栄町５－１２
宇野内科,679-4134,兵庫県たつの市誉田町広山４９１－１
医療法人　北室内科医院,680-0022,鳥取県鳥取市西町３－１１０
もとだクリニック,680-0151,鳥取県鳥取市国府町宮下１１６５
医療法人　イナカ内科医院,680-0854,鳥取県鳥取市正蓮寺４３
医療法人社団　大覚寺クリニック,680-0864,鳥取県鳥取市吉成２０６－１
医療法人　健章会　鳥取北クリニック,680-0905,鳥取県鳥取市賀露町４０１２
もりしたクリニック,682-0017,鳥取県倉吉市清谷町１－２１５
岡本小児科医院,682-0806,鳥取県倉吉市昭和町１－６１
医療法人　成尚会　米子南クリニック,683-0016,鳥取県米子市奥谷１１３５－７
野坂内科医院,683-0052,鳥取県米子市博労町１－４８－３
医療法人社団　脇田ウィメンズヘルスケアセンター　脇田産婦人科医院,683-0822,鳥取県米子市中町１２３－５
医療法人社団　松野医院,684-0023,鳥取県境港市京町３５
医療法人社団　マリ医院,689-3401,鳥取県米子市淀江町今津１５０
松江東健康クリニック,690-0835,島根県松江市西尾町１３－１
幡医院,690-0847,島根県松江市片原町８７
医療法人　けんクリニック　柴田脳神経外科,690-0888,島根県松江市北堀町１３
佐貫内科医院,690-2101,島根県松江市八雲町日吉１９４－１０
医療法人　江口内科医院,693-0023,島根県出雲市塩冶有原町６－４３
医療法人　知井宮　堀江医院,693-0033,島根県出雲市知井宮町８３４
医療法人　園山医院,693-0074,島根県出雲市東林木町８８８－２
医療法人社団　悠伸会　うめがえ内科クリニック,694-0064,島根県大田市大田町大田口１１８６－２
あすかクリニック,698-0003,島根県益田市乙吉町口３３
胃腸科内科田中医院,699-0401,島根県松江市宍道町宍道９４６－１
原医院,699-0811,島根県出雲市湖陵町差海１０９７
本田医院,699-0812,島根県出雲市湖陵町二部１８０２－１
たけだファミリークリニック,699-0822,島根県出雲市神西沖町１４５５－１
晴木医院,699-1251,島根県雲南市大東町大東１８６８
医療法人奏圭会　岡田メディカルクリニック,700-0013,岡山県岡山市北区伊福町３－５－４
医療法人ファミリア　西口アーバンクリニック,700-0024,岡山県岡山市北区駅元町２２－１８くすの木ビル３階
河田内科クリニック,700-0031,岡山県岡山市北区富町２－１４－７
医療法人　積仁会　佐藤内科,700-0821,岡山県岡山市北区中山下１－２－４０
